"year","month","day","load"
2013,1,1,20380
2013,1,1,21574
2013,1,1,20697
2013,1,1,19961
2013,1,1,19529
2013,1,1,19468
2013,1,1,19241
2013,1,1,18953
2013,1,1,18485
2013,1,1,19304
2013,1,1,19887
2013,1,1,20327
2013,1,1,20478
2013,1,1,20185
2013,1,1,20183
2013,1,1,20288
2013,1,1,21172
2013,1,1,22903
2013,1,1,23475
2013,1,1,23215
2013,1,1,22934
2013,1,1,22630
2013,1,1,22316
2013,1,1,21140
2013,1,2,20380
2013,1,2,19535
2013,1,2,19106
2013,1,2,18810
2013,1,2,18611
2013,1,2,19068
2013,1,2,19681
2013,1,2,20763
2013,1,2,21466
2013,1,2,22650
2013,1,2,23428
2013,1,2,23731
2013,1,2,23388
2013,1,2,23092
2013,1,2,23093
2013,1,2,23221
2013,1,2,23930
2013,1,2,25512
2013,1,2,25668
2013,1,2,25228
2013,1,2,24779
2013,1,2,24243
2013,1,2,23435
2013,1,2,22293
2013,1,3,21134
2013,1,3,20167
2013,1,3,19482
2013,1,3,19175
2013,1,3,19440
2013,1,3,19459
2013,1,3,20288
2013,1,3,21219
2013,1,3,22080
2013,1,3,23466
2013,1,3,23961
2013,1,3,24305
2013,1,3,24209
2013,1,3,24401
2013,1,3,24335
2013,1,3,24522
2013,1,3,25165
2013,1,3,26211
2013,1,3,26421
2013,1,3,25923
2013,1,3,25253
2013,1,3,24547
2013,1,3,23845
2013,1,3,22441
2013,1,4,21511
2013,1,4,20239
2013,1,4,19612
2013,1,4,19569
2013,1,4,19459
2013,1,4,19519
2013,1,4,20502
2013,1,4,21496
2013,1,4,22186
2013,1,4,23949
2013,1,4,24126
2013,1,4,24509
2013,1,4,24352
2013,1,4,24411
2013,1,4,24448
2013,1,4,24423
2013,1,4,25242
2013,1,4,26260
2013,1,4,26453
2013,1,4,25888
2013,1,4,25405
2013,1,4,24772
2013,1,4,24013
2013,1,4,22455
2013,1,5,21651
2013,1,5,20246
2013,1,5,19574
2013,1,5,19174
2013,1,5,19283
2013,1,5,19534
2013,1,5,19651
2013,1,5,20380
2013,1,5,20758
2013,1,5,22063
2013,1,5,22988
2013,1,5,23513
2013,1,5,23590
2013,1,5,23753
2013,1,5,23845
2013,1,5,23873
2013,1,5,24733
2013,1,5,26142
2013,1,5,26279
2013,1,5,25892
2013,1,5,25275
2013,1,5,24933
2013,1,5,23956
2013,1,5,22558
2013,1,6,21573
2013,1,6,20375
2013,1,6,19675
2013,1,6,19355
2013,1,6,19238
2013,1,6,19387
2013,1,6,19626
2013,1,6,19912
2013,1,6,20206
2013,1,6,21430
2013,1,6,22350
2013,1,6,22731
2013,1,6,22876
2013,1,6,22966
2013,1,6,22968
2013,1,6,23291
2013,1,6,24045
2013,1,6,24945
2013,1,6,24995
2013,1,6,24190
2013,1,6,23394
2013,1,6,23036
2013,1,6,22556
2013,1,6,21829
2013,1,7,21119
2013,1,7,20118
2013,1,7,19292
2013,1,7,19055
2013,1,7,18974
2013,1,7,19220
2013,1,7,19454
2013,1,7,19464
2013,1,7,19375
2013,1,7,20467
2013,1,7,21094
2013,1,7,21638
2013,1,7,21484
2013,1,7,21338
2013,1,7,21286
2013,1,7,21408
2013,1,7,22040
2013,1,7,23682
2013,1,7,24010
2013,1,7,23656
2013,1,7,23594
2013,1,7,23258
2013,1,7,22896
2013,1,7,21699
2013,1,8,20839
2013,1,8,19756
2013,1,8,19418
2013,1,8,19037
2013,1,8,19112
2013,1,8,19250
2013,1,8,20187
2013,1,8,21403
2013,1,8,22491
2013,1,8,24012
2013,1,8,24693
2013,1,8,24949
2013,1,8,24844
2013,1,8,24750
2013,1,8,24856
2013,1,8,24890
2013,1,8,25488
2013,1,8,26505
2013,1,8,26761
2013,1,8,26511
2013,1,8,25758
2013,1,8,25373
2013,1,8,24589
2013,1,8,23260
2013,1,9,22225
2013,1,9,21163
2013,1,9,20589
2013,1,9,20265
2013,1,9,20381
2013,1,9,20558
2013,1,9,21489
2013,1,9,22624
2013,1,9,23572
2013,1,9,24968
2013,1,9,25456
2013,1,9,25544
2013,1,9,25510
2013,1,9,25333
2013,1,9,25395
2013,1,9,25465
2013,1,9,25996
2013,1,9,27258
2013,1,9,27316
2013,1,9,26957
2013,1,9,26428
2013,1,9,26062
2013,1,9,25346
2013,1,9,23724
2013,1,10,22773
2013,1,10,21693
2013,1,10,21179
2013,1,10,20938
2013,1,10,20931
2013,1,10,21125
2013,1,10,21994
2013,1,10,23121
2013,1,10,24246
2013,1,10,25909
2013,1,10,26379
2013,1,10,26384
2013,1,10,26260
2013,1,10,26220
2013,1,10,26252
2013,1,10,26242
2013,1,10,26738
2013,1,10,27951
2013,1,10,28172
2013,1,10,27823
2013,1,10,26993
2013,1,10,26537
2013,1,10,25773
2013,1,10,24108
2013,1,11,23201
2013,1,11,22042
2013,1,11,21320
2013,1,11,20929
2013,1,11,20897
2013,1,11,21198
2013,1,11,21833
2013,1,11,23036
2013,1,11,24068
2013,1,11,25456
2013,1,11,25981
2013,1,11,26349
2013,1,11,26130
2013,1,11,25912
2013,1,11,25696
2013,1,11,25787
2013,1,11,26253
2013,1,11,27268
2013,1,11,27516
2013,1,11,27345
2013,1,11,26412
2013,1,11,25683
2013,1,11,25353
2013,1,11,23715
2013,1,12,22728
